i,target,loss_see,loss_uni,loss_bi,loss_actual,w_see,w_uni,w_bi
195623,91,0.501635,6.881782,4.008304,0.533464,0.976561,0.005847,0.017592
195624,108,6.450478,5.898826,6.260026,6.443722,0.978633,0.005170,0.016197
195625,97,3.893824,5.237280,4.649167,3.908544,0.977813,0.005584,0.016604
195626,110,3.863555,5.140588,3.771266,3.866805,0.977747,0.005694,0.016558
195627,101,3.621725,4.448755,3.306609,3.619423,0.977267,0.005809,0.016924
195628,93,2.616922,6.881818,9.083870,2.650323,0.976605,0.005994,0.017400
195629,59,2.925103,5.634584,1.912360,2.910457,0.979672,0.005622,0.014705
195630,10,0.185419,5.080322,0.733990,0.200242,0.979012,0.005512,0.015477
195631,32,0.156085,1.972867,0.420058,0.165128,0.979350,0.005092,0.015558
195632,32,0.008913,1.972845,0.857034,0.024632,0.979089,0.005152,0.015759
195633,32,0.075827,1.972824,0.857011,0.090847,0.979119,0.005189,0.015692
195634,32,0.105795,1.972802,0.856987,0.120518,0.979110,0.005234,0.015656
195635,32,0.523946,1.972781,0.856964,0.533454,0.979085,0.005280,0.015635
195636,32,0.517150,1.972759,0.856941,0.526905,0.978811,0.005386,0.015803
195637,32,0.513791,1.972738,0.856917,0.523737,0.978547,0.005486,0.015967
195638,32,0.351210,1.972716,0.856894,0.363577,0.978292,0.005581,0.016127
195639,32,0.351210,1.972694,0.856871,0.363677,0.978143,0.005647,0.016210
195640,32,0.351210,1.972673,0.856847,0.363773,0.977999,0.005710,0.016291
195641,32,0.351210,1.972651,0.856824,0.363866,0.977859,0.005769,0.016372
195642,32,0.267570,1.972630,0.856801,0.281421,0.977723,0.005826,0.016451
195643,125,5.014673,7.884537,6.503344,5.037470,0.977644,0.005866,0.016489
195644,10,0.183750,5.080176,0.720205,0.199017,0.978178,0.005717,0.016105
195645,32,0.545467,1.972623,0.419977,0.548123,0.978548,0.005269,0.016182
195646,32,0.001901,1.972602,0.856806,0.018458,0.978059,0.005378,0.016563
195647,32,0.081168,1.972580,0.856783,0.096828,0.978127,0.005401,0.016472
195648,32,0.081491,1.972558,0.856759,0.097151,0.978144,0.005435,0.016422
195649,32,0.441541,1.972537,0.856736,0.452648,0.978161,0.005467,0.016372
195650,32,0.343184,1.972515,0.856713,0.355786,0.977954,0.005552,0.016494
195651,32,0.340072,1.972494,0.856690,0.352813,0.977815,0.005618,0.016567
195652,32,0.338601,1.972472,0.856666,0.351454,0.977682,0.005680,0.016638
195653,125,4.649408,7.882871,6.500968,4.674447,0.977554,0.005739,0.016707
195654,10,0.178766,5.080000,0.719345,0.193854,0.978311,0.005544,0.016145
195655,32,0.775760,1.972466,0.419897,0.773380,0.978662,0.005119,0.016219
195656,32,0.001151,1.972444,0.856672,0.017691,0.978023,0.005267,0.016710
195657,32,0.070843,1.972422,0.856648,0.086592,0.978088,0.005297,0.016615
195658,32,0.084540,1.972401,0.856625,0.100139,0.978109,0.005335,0.016556
195659,125,4.143813,7.881178,6.498481,4.170383,0.978122,0.005373,0.016505
195660,10,0.202598,5.079795,0.718486,0.216648,0.979137,0.005140,0.015723
195661,32,0.822462,1.972394,0.419816,0.818905,0.979412,0.004773,0.015814
195662,32,0.001494,1.972373,0.856630,0.017422,0.978737,0.004940,0.016323
195663,32,0.121766,1.972351,0.856607,0.136391,0.978773,0.004988,0.016239
195664,32,0.125644,1.972330,0.856584,0.140275,0.978738,0.005050,0.016212
195665,10,5.257167,5.079583,6.672425,5.270864,0.978703,0.005110,0.016188
195666,32,0.029017,1.972315,0.419736,0.040322,0.978689,0.005468,0.015842
195667,32,0.001671,1.972294,0.856589,0.017971,0.978527,0.005489,0.015983
195668,32,0.129325,1.972272,0.856566,0.144218,0.978586,0.005506,0.015908
195669,32,0.120413,1.972251,0.856543,0.135433,0.978567,0.005542,0.015892
195670,109,7.454931,5.968017,7.068160,7.433552,0.978554,0.005574,0.015873
195671,101,1.443785,4.448918,3.481766,1.469651,0.977479,0.006153,0.016368
195672,109,0.528762,5.967571,5.527633,0.559480,0.978303,0.005958,0.015738
195673,115,2.464929,5.351468,5.217572,2.488961,0.980686,0.005405,0.013908
195674,101,0.306182,4.448780,2.992597,0.329594,0.981561,0.005293,0.013146
195675,116,1.466868,4.436458,3.673794,1.487413,0.982520,0.005011,0.012470
195676,40,2.238143,5.934800,5.435443,2.260294,0.983075,0.004918,0.012007
195677,111,5.262566,5.621463,7.848832,5.277676,0.984014,0.004738,0.011249
195678,117,0.768219,6.083169,2.474499,0.786138,0.984239,0.005020,0.010741
195679,116,1.193900,4.436328,3.404525,1.211888,0.984844,0.004615,0.010541
195680,45,10.118018,5.379446,8.229594,9.924278,0.985280,0.004521,0.010199
195681,62,9.231816,7.761463,2.927978,8.324300,0.983365,0.005533,0.011102
195682,119,11.453870,8.445626,8.592457,11.279079,0.980206,0.006095,0.013699
195683,97,5.019437,5.237429,2.767302,4.940414,0.977796,0.006985,0.015219
195684,118,0.194140,7.697424,4.739350,0.227845,0.976158,0.007259,0.016583
195685,101,0.158788,4.448700,2.008447,0.182868,0.979016,0.006144,0.014840
195686,95,2.886995,4.991836,4.229288,2.906038,0.979882,0.005739,0.014380
195687,112,4.645479,6.864127,5.352163,4.659934,0.980135,0.005720,0.014145
195688,111,2.434885,5.621181,3.864326,2.455185,0.980140,0.005683,0.014177
195689,111,4.504723,5.620826,5.419130,4.518487,0.980584,0.005499,0.013916
195690,108,2.610733,5.898873,4.849155,2.634001,0.980484,0.005649,0.013867
195691,101,2.401856,4.448583,1.780697,2.397498,0.981241,0.005454,0.013305
195692,100,6.095045,6.011220,5.206174,6.077629,0.980666,0.005458,0.013876
195693,44,4.721924,6.802878,7.515262,4.746501,0.979638,0.005797,0.014565
195694,32,0.323684,1.972406,0.218092,0.327867,0.980483,0.005783,0.013735
195695,48,2.385315,6.712097,6.295411,2.412556,0.980066,0.005833,0.014101
195696,44,0.464472,6.802078,3.795180,0.489213,0.981648,0.005463,0.012889
195697,32,0.095143,1.972399,0.217975,0.101670,0.983134,0.004855,0.012011
195698,115,4.571606,5.351352,6.058606,4.586048,0.982789,0.004920,0.012292
195699,105,2.051485,4.721420,2.977066,2.066062,0.982778,0.005138,0.012085
195700,122,0.426256,8.247030,4.084087,0.449787,0.982842,0.005074,0.012084
195701,101,0.015871,4.448496,0.850885,0.029003,0.984473,0.004352,0.011176
195702,111,1.433283,5.620560,5.943296,1.454579,0.984627,0.004142,0.011230
195703,102,0.226975,6.200829,4.341809,0.246573,0.985858,0.003990,0.010152
195704,40,0.309904,5.934556,2.952838,0.326474,0.987015,0.003671,0.009314
195705,111,8.793462,5.620220,7.756139,8.741096,0.987625,0.003436,0.008939
195706,117,0.458532,6.082876,2.473969,0.474787,0.986354,0.004106,0.009540
195707,116,0.340163,4.436375,3.400134,0.357257,0.986882,0.003802,0.009316
195708,45,12.309197,5.379345,8.183945,11.638007,0.987469,0.003697,0.008834
195709,62,9.409388,7.760072,2.926058,8.466973,0.984828,0.004871,0.010301
195710,119,11.564710,8.443267,8.178665,11.346986,0.981763,0.005434,0.012803
195711,97,6.554518,5.237358,2.757094,6.296280,0.979253,0.006283,0.014464
195712,118,0.317880,7.696103,4.732560,0.350755,0.976656,0.006850,0.016494
195713,101,0.201036,4.448424,2.004817,0.224455,0.979347,0.005837,0.014816
195714,95,3.161916,4.991808,4.226827,3.178513,0.980150,0.005474,0.014376
195715,112,3.990761,6.863476,5.343228,4.010271,0.980233,0.005514,0.014254
195716,111,2.046363,5.619939,3.854264,2.068102,0.980588,0.005392,0.014021
195717,111,4.156369,5.619584,5.405992,4.172605,0.981204,0.005178,0.013618
195718,108,2.945075,5.898640,4.840735,2.966057,0.981266,0.005288,0.013446
195719,101,2.518762,4.448307,1.779705,2.511698,0.981787,0.005174,0.013039
195720,100,6.088753,6.010951,5.200884,6.071689,0.981138,0.005211,0.013651
195721,41,1.472406,5.935131,5.731429,1.499909,0.980117,0.005550,0.014333
195722,41,8.073109,5.934688,4.014255,7.785288,0.981840,0.005194,0.012965
195723,59,0.499636,5.634910,1.415177,0.518083,0.979211,0.005855,0.014934
195724,10,0.140969,5.079769,0.733762,0.155742,0.979781,0.005354,0.014866
195725,32,0.172615,1.972576,0.419655,0.181122,0.980113,0.004950,0.014937
195726,32,0.001848,1.972555,0.856606,0.017094,0.979829,0.005020,0.015151
195727,32,0.125454,1.972533,0.856582,0.139455,0.979841,0.005064,0.015096
195728,32,0.204331,1.972512,0.856559,0.217533,0.979782,0.005122,0.015096
195729,109,6.219147,5.967530,7.064481,6.227424,0.979682,0.005189,0.015130
195730,101,1.020130,4.448227,3.477865,1.045413,0.979368,0.005558,0.015075
195731,109,0.423741,5.967084,5.521532,0.451655,0.980304,0.005351,0.014345
195732,115,2.702400,5.351301,5.202656,2.723507,0.982460,0.004873,0.012667
195733,101,0.265596,4.448089,2.990898,0.287151,0.983076,0.004835,0.012088
195734,116,1.010638,4.436414,3.672894,1.030741,0.983921,0.004601,0.011478
195735,40,2.329464,5.934334,5.429213,2.349477,0.984580,0.004486,0.010934
195736,111,4.847760,5.619362,7.669094,4.863208,0.985338,0.004361,0.010301
195737,117,0.940352,6.082606,2.473100,0.956128,0.985608,0.004595,0.009798
195738,116,1.013318,4.436284,3.395760,1.030305,0.986037,0.004271,0.009692
195739,45,10.270074,5.379267,8.139861,10.066342,0.986455,0.004188,0.009357
195740,62,8.858238,7.758705,2.924141,8.158252,0.984542,0.005172,0.010285
195741,119,11.275308,8.440935,7.857981,11.065444,0.981754,0.005662,0.012584
195742,97,5.607959,5.237308,2.746982,5.482193,0.979284,0.006481,0.014236
195743,118,0.162019,7.694805,4.725805,0.194074,0.977321,0.006871,0.015809
195744,101,0.098358,4.448009,2.001202,0.121496,0.980020,0.005828,0.014152
195745,95,3.373102,4.991802,4.224529,3.387290,0.980842,0.005451,0.013707
195746,115,2.403918,5.351104,3.025182,2.417831,0.980787,0.005524,0.013690
195747,117,4.103374,6.082180,4.421423,4.113137,0.980846,0.005388,0.013766
195748,109,0.432210,5.966749,3.020307,0.456845,0.980631,0.005408,0.013961
195749,44,12.279043,6.801647,7.556719,11.645814,0.981819,0.004918,0.013263
195750,32,0.438181,1.972645,0.217858,0.440249,0.978337,0.006107,0.015555
195751,48,2.588950,6.711738,6.293328,2.618922,0.977860,0.006161,0.015979
195752,44,1.191063,6.800848,3.786461,1.217113,0.979563,0.005785,0.014652
195753,32,0.124562,1.972638,0.217741,0.131279,0.980872,0.005227,0.013901
195754,115,4.675340,5.350862,6.056864,4.690880,0.980539,0.005275,0.014186
195755,105,1.885857,4.721637,2.975676,1.903451,0.980560,0.005501,0.013939
195756,122,0.427616,8.245207,4.081093,0.453947,0.980792,0.005385,0.013823
195757,101,0.013773,4.447944,0.849599,0.028257,0.982660,0.004599,0.012740
195758,111,1.527385,5.619162,5.934648,1.551035,0.982884,0.004359,0.012757
195759,102,0.231221,6.200699,4.336623,0.252995,0.984284,0.004193,0.011522
195760,40,0.277691,5.934068,2.949510,0.296050,0.985626,0.003843,0.010531
195761,111,8.829678,5.618823,7.587048,8.768539,0.986365,0.003578,0.010057
195762,117,0.428611,6.081792,2.471893,0.446505,0.984980,0.004266,0.010754
195763,116,0.347881,4.436309,3.391859,0.366595,0.985614,0.003935,0.010451
195764,45,12.109785,5.379145,8.096948,11.476660,0.986309,0.003815,0.009876
195765,62,9.335076,7.757296,2.922227,8.354655,0.983574,0.004988,0.011438
195766,119,11.838011,8.438564,7.596190,11.452338,0.980309,0.005544,0.014147
195767,97,6.536062,5.237215,2.736966,6.248486,0.977205,0.006451,0.016344
195768,118,0.310838,7.693465,4.719083,0.346909,0.974390,0.007019,0.018592
195769,101,0.188603,4.447872,1.997601,0.214178,0.977361,0.005973,0.016666
195770,95,3.116864,4.991751,4.221924,3.135302,0.978279,0.005593,0.016128
