i,target,loss_see,loss_uni,loss_bi,loss_actual,w_see,w_uni,w_bi
0,110,-0.000000,8.011227,8.000000,1.573779,0.333333,0.333333,0.333333
1,99,33.219281,8.016808,8.000000,8.718184,0.388597,0.305650,0.305753
2,108,33.219281,8.022368,8.000000,8.387993,0.229886,0.384895,0.385219
3,117,33.219281,8.027906,8.000000,8.203418,0.123116,0.438111,0.438773
4,100,33.219281,8.033423,8.000000,8.109104,0.062109,0.468395,0.469495
5,101,33.219281,8.038919,8.000000,8.063919,0.030457,0.483960,0.485582
6,32,33.219281,8.044394,8.000000,8.043568,0.014855,0.491462,0.493684
7,60,33.219281,8.049849,8.000000,8.035290,0.007357,0.494873,0.497770
8,115,18.407750,8.055282,8.000000,8.032762,0.003798,0.496276,0.499926
9,116,-0.000000,8.060696,8.000000,7.172999,0.003115,0.496204,0.500681
10,100,33.219281,7.066089,8.000000,7.467399,0.004290,0.495168,0.500542
11,105,33.219281,7.071462,8.005625,7.463692,0.002321,0.503132,0.494547
12,111,33.219281,8.076816,8.005625,8.043618,0.001408,0.510580,0.488013
13,46,33.219281,8.082149,8.000000,8.042809,0.000995,0.510251,0.488755
14,104,33.219281,8.087463,8.000000,8.045110,0.000800,0.509728,0.489472
15,62,9.862505,8.092757,8.000000,8.047245,0.000709,0.509113,0.490178
16,10,33.219281,8.098032,8.000000,8.050493,0.001004,0.508262,0.490734
17,35,33.219281,7.103288,8.000000,7.477268,0.000805,0.507623,0.491572
18,105,33.219281,6.523562,7.005625,6.738545,0.000706,0.514381,0.484913
19,110,33.219281,7.113742,7.011227,7.064396,0.000652,0.518005,0.481343
20,99,33.219281,7.118941,7.005625,7.064071,0.000631,0.517237,0.482132
21,108,33.219281,7.124121,7.005625,7.066532,0.000621,0.516383,0.482996
22,117,33.219281,7.129283,7.005625,7.068974,0.000616,0.515487,0.483896
23,100,33.219281,6.549464,7.005625,6.753765,0.000614,0.514553,0.484833
24,101,18.040244,7.139551,7.011227,7.077190,0.000611,0.517957,0.481431
25,32,19.271322,7.144658,7.005625,7.076988,0.000773,0.516902,0.482326
26,60,33.219281,7.149747,7.005625,7.079483,0.000869,0.515800,0.483331
27,115,1.904927,7.154818,7.005625,7.044021,0.000730,0.514783,0.484487
28,116,0.000134,7.159871,7.005625,6.869450,0.001185,0.513423,0.485393
29,100,24.513840,6.164907,7.005625,6.516984,0.001797,0.511946,0.486258
30,108,33.219281,6.584962,8.016808,7.106936,0.001382,0.518436,0.480182
31,105,26.268589,6.174926,8.011227,6.772493,0.000968,0.529333,0.469699
32,98,4.054412,8.179909,8.016808,8.083638,0.000876,0.543038,0.456086
33,46,12.800989,7.184875,8.000000,7.504295,0.001322,0.541555,0.457124
34,104,17.987105,7.189825,7.005625,7.105809,0.001462,0.547501,0.451037
35,62,0.059812,7.194757,7.005625,6.864795,0.001387,0.546143,0.452469
36,10,2.477564,7.199672,7.005625,7.039738,0.002045,0.544350,0.453605
37,35,33.219281,6.619609,7.005625,6.786833,0.002680,0.542534,0.454786
38,105,8.436002,5.887525,6.426265,6.108953,0.001547,0.545986,0.452467
39,110,27.513424,6.629357,6.437405,6.542525,0.001776,0.549822,0.448402
40,99,12.279264,6.634206,6.426265,6.538584,0.001280,0.548639,0.450081
41,108,13.216134,6.224002,6.426265,6.313997,0.001410,0.546993,0.451597
42,117,10.141931,6.643856,6.431846,6.546376,0.001479,0.548423,0.450098
43,100,6.926706,5.911692,6.426265,6.123131,0.001660,0.546719,0.451621
44,101,0.220757,6.653442,6.437405,6.344180,0.001953,0.550338,0.447709
45,32,2.574578,6.658212,6.426265,6.493087,0.002692,0.548298,0.449010
46,60,8.131185,6.662965,6.426265,6.554384,0.003362,0.546180,0.450457
47,115,0.301476,6.667703,6.426265,6.212813,0.003538,0.544300,0.452162
48,116,0.003585,6.672425,6.426265,6.042751,0.004594,0.541906,0.453500
49,100,2.108345,5.677132,6.426265,5.861422,0.005915,0.539337,0.454748
50,105,2.481643,5.681824,7.027906,6.031291,0.006973,0.544264,0.448763
51,110,17.117980,6.271463,6.027906,6.170497,0.008134,0.553490,0.438376
52,116,0.081542,6.276124,8.016808,6.088904,0.006197,0.552742,0.441062
53,46,2.971790,6.695808,8.016808,6.946223,0.007949,0.564468,0.427583
54,104,1.352934,6.700440,6.426265,6.155561,0.009355,0.573217,0.417429
55,62,0.004668,6.705056,6.426265,5.536473,0.011250,0.570085,0.418666
56,10,0.037664,6.709658,6.426265,5.385551,0.013991,0.566440,0.419569
57,35,11.366686,6.299208,6.426265,6.376565,0.017295,0.562450,0.420255
58,105,1.404269,5.496426,6.016808,5.336369,0.015234,0.564499,0.420267
59,110,1.547928,5.986411,5.711495,5.448733,0.017618,0.566829,0.415553
60,99,2.819217,6.312883,6.022368,5.932724,0.020322,0.563245,0.416433
61,108,1.401302,5.995484,6.016808,5.390901,0.022746,0.559720,0.417534
62,117,1.517929,6.321928,6.022368,5.469695,0.026334,0.557769,0.415897
63,100,1.108211,5.519075,6.016808,4.937498,0.030484,0.553212,0.416305
64,101,0.030695,6.330917,6.033423,4.393691,0.035160,0.554020,0.410820
65,32,0.465480,6.335390,6.016808,4.514505,0.042304,0.547779,0.409918
66,60,0.904020,6.339850,6.016808,4.651699,0.050131,0.541031,0.408838
67,116,4.797849,6.022368,8.016808,6.393799,0.058536,0.533961,0.407503
68,105,1.203307,5.348728,8.022368,4.574740,0.062330,0.545468,0.392202
69,109,14.832120,8.353147,8.038919,8.326793,0.072432,0.557500,0.370069
70,101,2.441747,6.035624,8.000000,5.561327,0.060469,0.562498,0.377033
71,46,0.838968,6.361944,8.022368,4.420791,0.068623,0.570648,0.360729
72,104,0.450717,6.366322,6.016808,3.795311,0.081661,0.573369,0.344970
73,62,0.007905,6.370687,6.016808,3.218365,0.095892,0.562177,0.341931
74,10,0.061492,6.375039,6.016808,3.050905,0.113580,0.548883,0.337537
75,35,1.058543,6.057450,6.016808,3.691635,0.133813,0.534079,0.332108
76,105,0.739204,5.213779,5.700440,3.164053,0.152289,0.522365,0.325346
77,110,0.144533,5.803055,5.459432,2.544460,0.171391,0.513370,0.315239
78,99,1.810418,6.070389,5.705978,3.851776,0.196375,0.495859,0.307767
79,108,0.915135,5.811642,5.700440,2.951126,0.216730,0.481196,0.302074
80,117,0.925919,6.078951,5.705978,2.834953,0.242555,0.464656,0.292789
81,100,0.587905,5.405141,5.700440,2.347838,0.271276,0.445027,0.283696
82,101,0.040134,5.824428,5.716991,1.708646,0.301524,0.427949,0.270526
83,32,0.669228,6.091700,5.705978,2.158317,0.338991,0.404414,0.256595
84,60,0.343540,6.095924,5.700440,1.708454,0.375239,0.380445,0.244316
85,105,4.372927,5.100137,8.022368,4.999581,0.415268,0.354345,0.230388
86,109,3.004707,7.426265,7.049849,4.130272,0.428696,0.357964,0.213341
87,109,4.876554,6.845490,8.005625,5.688845,0.460266,0.336672,0.203062
88,105,1.114481,4.975197,8.011227,2.107669,0.478056,0.329731,0.192212
89,110,0.145708,5.631437,5.247928,1.070031,0.514957,0.316467,0.168576
90,116,1.002800,5.857981,7.033423,1.821277,0.554658,0.289300,0.156042
91,114,7.436951,8.447083,8.027906,7.726048,0.592981,0.267550,0.139470
92,105,0.979233,4.866249,8.000000,1.674089,0.598969,0.262372,0.138659
93,110,0.700016,5.455327,5.060696,1.324564,0.633672,0.247225,0.119103
94,46,3.990826,6.137503,8.038919,4.459930,0.664922,0.225148,0.109930
95,104,0.139215,6.141596,5.700440,0.678188,0.682753,0.216994,0.100254
96,62,0.041280,6.145677,5.700440,0.507747,0.719182,0.191150,0.089668
97,32,7.364696,5.886713,8.022368,7.020927,0.753430,0.167002,0.079568
98,47,4.449797,8.475733,8.027906,4.834974,0.748508,0.173689,0.077803
99,47,0.967624,7.479780,8.000000,1.341573,0.769380,0.158485,0.072135
100,32,0.054133,5.676461,8.005625,0.366132,0.802512,0.136250,0.061238
101,70,3.151813,8.487840,8.033423,3.411890,0.830384,0.119386,0.050231
102,111,2.480811,7.491853,8.000000,2.706914,0.850724,0.104510,0.044766
103,114,1.658911,7.495855,8.005625,1.858333,0.868808,0.092132,0.039060
104,32,0.579213,5.499846,8.005625,0.746980,0.887408,0.079292,0.033300
105,65,7.140419,8.503826,8.038919,7.222712,0.902674,0.069894,0.027431
106,86,4.781725,8.507795,8.000000,4.912532,0.905300,0.067597,0.027103
107,88,1.078550,8.511753,8.000000,1.208131,0.913534,0.061309,0.025157
108,50,0.581844,8.515700,8.000000,0.688033,0.928710,0.050185,0.021105
109,32,0.187255,5.349711,8.000000,0.271470,0.942091,0.040444,0.017465
110,97,7.438043,8.523562,8.044394,7.472419,0.950463,0.035270,0.014267
111,110,4.210484,5.357552,8.000000,4.257741,0.951165,0.034487,0.014349
112,100,0.701036,5.361456,8.044394,0.768156,0.953128,0.033711,0.013162
113,32,2.516870,5.213347,8.044394,2.569676,0.959221,0.029822,0.010957
114,95,7.712242,8.539159,8.049849,7.732865,0.962435,0.027921,0.009644
115,95,1.009396,7.543032,8.000000,1.063889,0.962558,0.027564,0.009878
116,114,4.956286,6.961932,8.005625,4.992428,0.968488,0.023123,0.008389
117,100,2.536598,5.228819,8.011227,2.575380,0.969873,0.022130,0.007997
118,116,1.720679,5.747234,8.049849,1.759506,0.972082,0.020785,0.007132
119,115,0.351544,6.558421,8.033423,0.387721,0.974951,0.018802,0.006248
120,99,1.519309,5.977280,8.016808,1.549223,0.978692,0.015995,0.005312
121,10,5.912778,6.244126,8.027906,5.922289,0.980933,0.014354,0.004713
122,10,3.007080,5.984893,8.022368,3.032255,0.980709,0.014537,0.004754
123,35,1.455402,5.988685,5.705978,1.480499,0.981933,0.013640,0.004427
124,105,0.698612,4.876989,5.442944,0.721375,0.983511,0.012254,0.004236
125,102,1.955133,8.581201,8.066089,1.976929,0.984835,0.011154,0.004011
126,100,3.439375,5.125531,8.000000,3.453969,0.986830,0.009492,0.003678
127,101,0.203452,5.781360,5.470320,0.221760,0.987102,0.009357,0.003541
128,102,0.875621,7.592457,8.033423,0.892327,0.988384,0.008256,0.003359
129,32,1.501914,5.136758,8.005625,1.515733,0.989863,0.007091,0.003047
130,95,4.729630,7.014950,7.055282,4.740627,0.990466,0.006693,0.002841
131,87,0.880003,8.603626,8.011227,0.893788,0.990438,0.006581,0.002982
132,73,0.787988,8.607330,8.000000,0.799951,0.991699,0.005558,0.002743
133,78,0.122388,8.611025,8.000000,0.132889,0.992724,0.004732,0.002544
134,51,0.872223,8.614710,8.000000,0.881358,0.993653,0.004004,0.002343
135,50,0.150778,7.618385,8.000000,0.159031,0.994266,0.003508,0.002226
136,10,2.729233,5.814697,8.005625,2.736185,0.994770,0.003138,0.002093
137,35,0.318772,5.818354,5.448460,0.326265,0.994689,0.003193,0.002119
138,105,0.486716,4.822002,5.226068,0.493887,0.994811,0.003040,0.002150
139,110,0.428111,5.311067,4.901537,0.435340,0.994801,0.003001,0.002197
140,99,1.568576,5.829270,5.464886,1.575627,0.994821,0.002925,0.002254
141,108,0.693318,5.832890,5.448460,0.700659,0.994756,0.002906,0.002338
142,117,0.664077,6.058894,5.448460,0.671354,0.994816,0.002824,0.002360
143,100,0.356479,5.062496,5.442944,0.363619,0.994888,0.002734,0.002377
144,101,0.061472,5.651052,5.253341,0.068645,0.994920,0.002707,0.002373
145,32,0.689323,5.069673,5.453956,0.696225,0.995014,0.002622,0.002364
146,60,1.322868,6.073249,5.475733,1.329783,0.994987,0.002632,0.002382
147,119,3.140821,8.661778,8.027906,3.147923,0.994950,0.002614,0.002435
148,105,0.528440,4.758445,8.000000,0.535432,0.995016,0.002548,0.002436
149,110,0.232180,5.209453,4.754887,0.238942,0.995143,0.002577,0.002280
150,100,3.194366,4.971986,7.055282,3.200107,0.995125,0.002552,0.002323
151,111,1.518249,7.090995,8.066089,1.525581,0.994847,0.002752,0.002401
152,119,1.621606,7.679480,8.011227,1.628692,0.995033,0.002661,0.002306
153,115,1.612882,6.361066,8.005625,1.619631,0.995211,0.002552,0.002237
154,46,0.708158,6.101538,8.022368,0.714884,0.995275,0.002546,0.002179
155,104,0.103609,6.105035,5.442944,0.110102,0.995419,0.002498,0.002083
156,62,0.079539,6.108524,5.442944,0.085957,0.995473,0.002419,0.002107
157,10,0.140841,5.696967,5.705978,0.147180,0.995521,0.002352,0.002127
158,35,0.170554,5.700440,5.231564,0.176832,0.995544,0.002324,0.002133
159,101,2.939970,5.533979,8.038919,2.945784,0.995534,0.002301,0.002165
160,110,0.175978,5.122397,8.044394,0.182575,0.995349,0.002461,0.002190
161,100,1.557956,4.903451,6.475733,1.564039,0.995483,0.002454,0.002063
162,105,1.292065,4.714245,6.486500,1.298382,0.995335,0.002552,0.002112
163,102,2.542334,7.132714,7.082149,2.548948,0.995224,0.002636,0.002140
164,10,1.670267,5.551174,8.011227,1.676953,0.995171,0.002629,0.002200
165,10,0.135392,5.402586,7.044394,0.142242,0.995176,0.002673,0.002152
166,47,2.764519,7.142958,8.049849,2.771051,0.995303,0.002615,0.002082
167,47,0.056227,6.731319,7.011227,0.063012,0.995265,0.002625,0.002109
168,32,0.006381,5.034270,7.016808,0.012794,0.995473,0.002482,0.002045
169,72,5.541470,8.738092,8.066089,5.547024,0.995543,0.002467,0.001990
170,101,4.910934,5.419539,8.000000,4.914815,0.995249,0.002574,0.002177
171,108,1.589239,5.744834,8.049849,1.596464,0.994818,0.002866,0.002316
172,112,6.120011,8.748193,8.038919,6.125863,0.994896,0.002863,0.002241
173,101,4.068285,5.292112,8.000000,4.074052,0.994575,0.002977,0.002448
174,114,1.048863,6.754887,8.055282,1.057006,0.994291,0.003202,0.002507
175,32,3.323320,4.950868,7.016808,3.329439,0.994604,0.003031,0.002365
176,116,3.915918,5.761551,8.071462,3.922620,0.994333,0.003218,0.002449
177,111,1.862979,6.764872,8.038919,1.871259,0.994129,0.003377,0.002494
178,32,2.463429,4.861294,8.016808,2.470640,0.994347,0.003248,0.002406
179,103,4.412252,8.771490,8.076816,4.420024,0.994277,0.003355,0.002369
180,101,1.187491,5.189825,8.000000,1.195454,0.994270,0.003276,0.002455
181,116,0.326852,5.608152,8.060696,0.334777,0.994428,0.003238,0.002334
182,32,4.704382,4.781360,8.044394,4.707457,0.994719,0.003097,0.002184
183,67,8.903664,8.784635,8.082149,8.900688,0.994272,0.003420,0.002308
184,80,10.308458,8.787902,8.000000,10.283160,0.993542,0.003762,0.002696
185,85,1.038057,8.791163,8.000000,1.048829,0.992516,0.004266,0.003219
186,32,3.576111,4.706953,8.000000,3.583094,0.993338,0.003716,0.002947
187,99,3.521068,5.797662,8.087463,3.529609,0.993164,0.003923,0.002912
188,121,3.548962,8.800900,8.038919,3.558567,0.993132,0.003996,0.002872
189,99,0.313337,5.634206,8.000000,0.322719,0.993410,0.003747,0.002843
190,108,0.056412,5.637430,5.237039,0.065056,0.993881,0.003528,0.002591
191,101,0.312521,5.110132,8.044394,0.320822,0.994132,0.003317,0.002551
192,115,0.968375,6.228819,8.066089,0.976275,0.994438,0.003206,0.002357
193,10,4.550992,5.357552,8.027906,4.555836,0.994692,0.003071,0.002238
194,115,5.734914,6.012824,8.055282,5.738469,0.994323,0.003329,0.002348
195,116,0.202723,5.501439,6.033423,0.211429,0.993847,0.003632,0.002522
196,97,2.066981,7.826549,8.049849,2.075343,0.994119,0.003431,0.002450
197,116,0.798150,5.370291,8.005625,0.806033,0.994399,0.003220,0.002381
198,105,3.676553,4.745427,7.055282,3.681868,0.994609,0.003140,0.002251
199,99,2.000602,5.514122,8.087463,2.008425,0.994262,0.003372,0.002366
200,32,1.805940,4.669279,8.049849,1.813430,0.994329,0.003367,0.002304
201,105,2.302187,4.672425,8.092757,2.309365,0.994335,0.003422,0.002243
202,110,0.317039,5.145050,4.633325,0.325000,0.994263,0.003520,0.002218
203,108,7.580914,5.526695,8.066089,7.566561,0.994341,0.003378,0.002281
204,105,0.194935,4.603822,7.049849,0.204043,0.993500,0.003921,0.002579
205,110,0.619596,5.047513,4.513070,0.628079,0.993798,0.003769,0.002433
206,101,2.813953,5.050626,8.071462,2.821610,0.993870,0.003632,0.002498
207,32,1.341138,4.613159,5.264107,1.349306,0.993806,0.003729,0.002466
208,117,3.850330,6.056831,8.098032,3.857996,0.993764,0.003712,0.002524
209,105,0.421114,4.545351,8.033423,0.429984,0.993639,0.003806,0.002555
210,110,0.024045,4.963474,4.402848,0.032478,0.993937,0.003696,0.002366
211,116,0.537673,5.288482,6.491853,0.546004,0.994072,0.003520,0.002408
212,54,3.132876,8.876517,8.060696,3.140966,0.994268,0.003385,0.002347
213,52,0.056059,8.879583,8.000000,0.064050,0.994460,0.003182,0.002358
214,95,0.569184,6.882643,8.000000,0.576300,0.995032,0.002776,0.002191
215,116,0.563095,5.185257,8.016808,0.569744,0.995283,0.002630,0.002087
216,32,1.021556,4.566815,7.066089,1.027873,0.995376,0.002623,0.002002
217,103,5.681923,7.891784,7.103288,5.686784,0.995307,0.002690,0.002002
218,101,1.380170,4.987927,7.005625,1.387141,0.994900,0.002849,0.002251
219,116,0.134802,5.090490,7.076816,0.142051,0.994877,0.002889,0.002234
220,95,2.482168,6.578939,8.071462,2.489052,0.995030,0.002823,0.002147
221,99,3.241964,5.444450,8.022368,3.248158,0.995023,0.002829,0.002148
222,121,0.223993,7.906891,7.055282,0.231427,0.994826,0.002980,0.002193
223,99,0.176528,5.324931,7.005625,0.183362,0.995180,0.002700,0.002120
224,108,0.059608,5.453458,5.060696,0.066230,0.995293,0.002646,0.002061
225,101,0.667583,4.915879,7.055282,0.674132,0.995310,0.002584,0.002106
226,115,0.566931,5.918863,7.082149,0.573572,0.995321,0.002607,0.002072
227,40,2.024370,8.921841,8.038919,2.030930,0.995410,0.002553,0.002037
228,41,0.340719,8.924813,8.000000,0.347118,0.995558,0.002409,0.002034
229,32,2.433458,4.535460,8.000000,2.438649,0.995855,0.002195,0.001949
230,123,0.572784,8.930737,8.108524,0.579084,0.995625,0.002393,0.001982
231,10,0.370124,5.348728,8.000000,0.375951,0.995890,0.002196,0.001914
232,32,0.028071,4.477206,8.060696,0.033811,0.995921,0.002224,0.001855
233,32,0.006034,4.416017,8.113742,0.011753,0.995930,0.002279,0.001791
234,32,0.032759,4.357552,7.118941,0.038450,0.995934,0.002329,0.001737
235,32,0.132171,4.301588,6.539159,0.137899,0.995885,0.002378,0.001737
236,117,5.220323,5.948367,7.129283,5.223586,0.995803,0.002431,0.001766
237,110,3.233512,4.951285,8.038919,3.239025,0.995290,0.002710,0.002000
238,115,3.197108,5.784271,8.082149,3.203493,0.995031,0.002905,0.002064
239,105,2.325755,4.564785,8.044394,2.332197,0.994865,0.003020,0.002115
240,103,5.657938,7.375039,8.108524,5.663609,0.994730,0.003156,0.002114
241,110,3.092447,4.875433,8.011227,3.099072,0.994375,0.003329,0.002296
242,101,0.360737,4.878321,7.087463,0.368877,0.994199,0.003487,0.002313
243,100,4.448340,5.061776,8.087463,4.452986,0.994398,0.003378,0.002224
244,32,1.990309,4.271104,7.076816,1.997765,0.994027,0.003648,0.002326
245,105,3.877017,4.514983,7.134426,3.881962,0.993933,0.003738,0.002329
246,110,1.204079,4.807355,4.306387,1.212513,0.993558,0.003998,0.002444
247,116,0.921846,5.073249,6.092757,0.930801,0.993520,0.003920,0.002559
248,32,1.014964,4.228106,6.491853,1.023432,0.993681,0.003794,0.002524
249,100,6.069182,4.985842,8.139551,6.065808,0.993747,0.003778,0.002475
250,117,3.278231,5.818760,8.082149,3.287010,0.993111,0.004232,0.002657
251,109,1.806326,6.991522,8.044394,1.816075,0.993114,0.004254,0.002633
252,109,3.021306,6.672425,7.016808,3.030013,0.993509,0.003974,0.002517
253,121,0.868249,7.412217,8.022368,0.877512,0.993540,0.003894,0.002565
254,59,1.125426,9.000000,8.011227,1.133967,0.994062,0.003534,0.002403
255,10,0.411067,5.302375,8.000000,0.418728,0.994587,0.003124,0.002289
256,32,0.214675,4.198270,7.066089,0.221872,0.994813,0.003031,0.002156
257,32,0.016031,4.150448,6.144658,0.023130,0.994890,0.003022,0.002088
258,32,0.090173,4.104337,5.827819,0.097184,0.994928,0.003002,0.002070
259,32,0.160081,4.059824,5.569856,0.167052,0.994930,0.002994,0.002076
260,114,6.023516,6.694880,8.159871,6.027467,0.994907,0.002996,0.002097
261,101,1.759855,4.849666,8.022368,1.767307,0.994434,0.003267,0.002299
262,116,3.784094,5.022368,6.507795,3.789596,0.994452,0.003310,0.002238
263,117,1.787143,5.703211,8.082149,1.795319,0.994085,0.003521,0.002394
264,114,0.027534,6.442944,8.049849,0.035822,0.994222,0.003463,0.002315
265,110,1.625969,4.782740,8.027906,1.633143,0.994656,0.003190,0.002153
266,32,0.980408,4.033423,8.098032,0.987551,0.994656,0.003235,0.002110
267,95,1.699457,6.451211,6.579944,1.706876,0.994679,0.003284,0.002037
268,95,0.139451,6.231564,7.027906,0.146984,0.994728,0.003180,0.002092
269,114,2.903504,6.234304,7.033423,2.910162,0.994983,0.002982,0.002035
270,100,3.101934,4.956931,7.033423,3.107982,0.994839,0.003030,0.002130
271,116,1.135820,4.959661,7.087463,1.143286,0.994576,0.003198,0.002225
272,115,0.355469,5.727920,7.087463,0.363108,0.994622,0.003184,0.002194
273,99,2.197310,5.352128,7.049849,2.204185,0.994831,0.003043,0.002126
274,112,0.709478,8.055282,8.066089,0.717056,0.994729,0.003100,0.002171
275,40,0.497052,8.057992,8.005625,0.504093,0.995105,0.002821,0.002074
276,38,0.149910,9.060696,8.005625,0.156499,0.995429,0.002581,0.001989
277,100,1.532160,4.893470,8.000000,1.537896,0.995786,0.002309,0.001905
278,117,0.631624,5.606658,7.092757,0.637729,0.995678,0.002420,0.001902
279,109,0.975310,6.483816,7.055282,0.981433,0.995683,0.002417,0.001899
280,109,2.405563,6.264107,6.442944,2.411369,0.995703,0.002382,0.001915
281,121,1.577764,7.074141,7.033423,1.584100,0.995517,0.002454,0.002029
282,41,1.858654,8.076816,8.016808,1.865027,0.995531,0.002413,0.002056
283,59,0.388703,8.079485,8.005625,0.395001,0.995623,0.002335,0.002042
284,10,0.798765,5.274794,7.005625,0.804578,0.995855,0.002187,0.001958
285,125,1.869401,9.084808,8.071462,1.875417,0.995797,0.002245,0.001958
286,10,0.296467,5.180572,8.000000,0.302275,0.995900,0.002141,0.001959
287,10,0.898787,5.090112,6.491853,0.904441,0.995931,0.002182,0.001887
288,47,2.183130,6.770829,7.082149,2.188951,0.995815,0.002257,0.001928
289,47,0.092337,6.510434,6.437405,0.098475,0.995704,0.002299,0.001997
290,32,0.012802,4.053638,6.442944,0.018664,0.995787,0.002229,0.001984
291,45,1.399550,9.100662,8.169925,1.405689,0.995724,0.002307,0.001969
292,45,0.445469,8.103288,8.000000,0.451372,0.995896,0.002164,0.001940
293,45,0.024231,7.520946,7.005625,0.029878,0.996067,0.002053,0.001880
294,45,0.027390,7.108524,6.426265,0.032873,0.996170,0.001973,0.001857
295,45,0.029144,6.789208,6.016808,0.034560,0.996206,0.001928,0.001866
296,45,0.030894,6.528780,5.700440,0.036300,0.996201,0.001907,0.001892
297,45,0.031825,6.308989,5.442944,0.037261,0.996169,0.001902,0.001929
298,45,0.030292,6.118941,5.226068,0.035783,0.996119,0.001908,0.001972
299,45,0.030292,5.951609,5.038919,0.035855,0.996057,0.001922,0.002020
300,45,0.030292,5.802193,4.874469,0.035938,0.995987,0.001942,0.002071
301,45,0.030292,5.667273,4.727920,0.036028,0.995910,0.001966,0.002124
302,45,0.031164,5.544320,4.595851,0.036996,0.995830,0.001993,0.002177
303,45,0.031164,5.431417,4.475733,0.037095,0.995747,0.002022,0.002231
304,45,0.031164,5.327071,4.365649,0.037195,0.995663,0.002052,0.002285
305,45,0.031164,5.230101,4.264107,0.037295,0.995578,0.002083,0.002339
306,45,0.032585,5.139551,4.169925,0.038817,0.995493,0.002115,0.002392
307,45,0.032585,5.054644,4.082149,0.038916,0.995407,0.002147,0.002446
308,45,0.032585,4.974733,4.000000,0.039015,0.995323,0.002179,0.002498
309,45,0.032585,4.899277,3.922832,0.039112,0.995238,0.002211,0.002550
310,45,0.033987,4.827819,3.850105,0.040609,0.995155,0.002244,0.002602
311,45,0.033987,4.759967,3.781360,0.040703,0.995072,0.002276,0.002653
312,45,0.033987,4.695386,3.716207,0.040796,0.994990,0.002307,0.002703
313,45,0.033987,4.633785,3.654311,0.040886,0.994909,0.002339,0.002753
314,45,0.035207,4.574909,3.595379,0.042195,0.994829,0.002370,0.002802
315,45,0.035207,4.518535,3.539159,0.042282,0.994749,0.002400,0.002850
316,45,0.035207,4.464467,3.485427,0.042367,0.994671,0.002431,0.002898
317,45,0.035207,4.412531,3.433987,0.042451,0.994594,0.002461,0.002945
318,45,0.036212,4.362570,3.384664,0.043538,0.994518,0.002490,0.002992
319,45,0.036212,4.314446,3.337303,0.043618,0.994442,0.002520,0.003038
320,45,0.036212,4.268035,3.291766,0.043696,0.994367,0.002549,0.003084
321,45,0.036212,4.223223,3.247928,0.043773,0.994294,0.002577,0.003129
322,45,0.037016,4.179909,3.205675,0.044652,0.994221,0.002605,0.003174
323,45,0.037016,4.138000,3.164907,0.044726,0.994148,0.002633,0.003218
324,45,0.037016,4.097413,3.125531,0.044798,0.994077,0.002661,0.003262
325,45,0.037016,4.058069,3.087463,0.044869,0.994006,0.002688,0.003306
326,45,0.037646,4.019900,3.050626,0.045569,0.993936,0.002715,0.003349
327,45,0.037646,3.982839,3.014950,0.045638,0.993867,0.002742,0.003391
328,45,0.037646,3.946829,2.980371,0.045705,0.993798,0.002768,0.003434
329,45,0.037646,3.911814,2.946829,0.045771,0.993730,0.002794,0.003476
330,45,0.038134,3.877744,2.914270,0.046325,0.993663,0.002820,0.003517
331,45,0.038134,3.844572,2.882643,0.046388,0.993596,0.002845,0.003558
332,45,0.038134,3.812254,2.851901,0.046451,0.993530,0.002871,0.003599
333,45,0.038134,3.780750,2.822002,0.046513,0.993464,0.002896,0.003640
334,45,0.038508,3.750022,2.792904,0.046947,0.993399,0.002920,0.003680
335,45,0.038508,3.720035,2.764570,0.047007,0.993335,0.002945,0.003720
336,45,0.038508,3.690757,2.736966,0.047066,0.993271,0.002969,0.003760
337,45,0.038508,3.662157,2.710058,0.047124,0.993207,0.002993,0.003800
338,45,0.038796,3.634206,2.683816,0.047468,0.993144,0.003017,0.003839
339,45,0.038796,3.606877,2.658212,0.047524,0.993081,0.003041,0.003878
340,45,0.038796,3.580145,2.633218,0.047579,0.993018,0.003065,0.003917
341,45,0.038796,3.553987,2.608809,0.047634,0.992957,0.003088,0.003956
342,45,0.039013,3.528379,2.584962,0.047905,0.992895,0.003111,0.003994
343,45,0.039013,3.503301,2.561655,0.047958,0.992834,0.003134,0.004032
344,45,0.039013,3.478732,2.538866,0.048010,0.992773,0.003157,0.004070
345,45,0.039013,3.454655,2.516575,0.048061,0.992713,0.003180,0.004108
346,45,0.039178,3.431050,2.494765,0.048276,0.992652,0.003202,0.004145
347,45,0.039178,3.407901,2.473416,0.048326,0.992593,0.003225,0.004183
348,45,0.039178,3.385193,2.452512,0.048376,0.992533,0.003247,0.004220
349,45,0.039178,3.362910,2.432038,0.048424,0.992474,0.003269,0.004257
350,45,0.039302,3.341037,2.411978,0.048597,0.992415,0.003291,0.004294
351,45,0.039302,3.319561,2.392317,0.048644,0.992357,0.003313,0.004331
352,45,0.039302,3.298469,2.373043,0.048691,0.992298,0.003334,0.004367
353,45,0.039302,3.277749,2.354143,0.048738,0.992240,0.003356,0.004404
354,45,0.039396,3.257388,2.335603,0.048878,0.992183,0.003377,0.004440
355,45,0.039396,3.237375,2.317413,0.048923,0.992125,0.003399,0.004476
356,45,0.039396,3.217701,2.299560,0.048967,0.992068,0.003420,0.004512
